Dryad Digital Repository

Database:,PubMed
Total:,142

Month,Number of Hits  
2/2013,39
1/2013,37
12/2012,66

By Journal (for the most recent two months):,

Month:,February 2013,Total number of hits:,39

Journal Medline Abbreviation(ISSN),Number of Hits
Am Nat (0003-0147),4
Evolution (0014-3820),1
J Evol Biol (1010-061X),4
Mol Biol Evol (0737-4038),2
Mol Ecol (0962-1083),4
Mol Ecol Resour (1755-098X),12
Nature (0028-0836),1
Plant Cell (1040-4651),4
Proc Biol Sci (0962-8452),2
Science (0036-8075),2
Syst Biol (1063-5157),2
Zookeys (1313-2989),1

Month:,January 2013,Total number of hits:,37

Journal Medline Abbreviation(ISSN),Number of Hits
Am Nat (0003-0147),3
BMC Biol (1741-7007),1
Evolution (0014-3820),2
FASEB J (0892-6638),3
Infect Genet Evol (1567-1348),1
J Anat (0021-8782),3
J Evol Biol (1010-061X),2
Mol Biol Evol (0737-4038),2
Mol Ecol (0962-1083),9
Mol Ecol Resour (1755-098X),5
Mol Phylogenet Evol (1055-7903),2
New Phytol (0028-646X),2
Proc Biol Sci (0962-8452),1
Science (0036-8075),1



Database:,NucCore
Total:,15

Month,Number of Hits  
2/2013,1
1/2013,1
12/2012,13


Database:,Protein
Total:,2

Month,Number of Hits  
2/2013,1
12/2012,1


Database:,Taxonomy
Total:,53

Month,Number of Hits  
2/2013,22
1/2013,25
12/2012,6


