Dryad Digital Repository

Database:,PubMed
Total:,197

Month,Number of Hits  
3/2013,55
2/2013,39
1/2013,37
12/2012,66

By Journal (for the most recent two months):,

Month:,March 2013,Total number of hits:,55

Journal Medline Abbreviation(ISSN),Number of Hits
Am Nat (0003-0147),3
Biol Lett (1744-9561),1
Evolution (0014-3820),2
Heredity (Edinb) (0018-067X),3
J Evol Biol (1010-061X),1
Mol Ecol (0962-1083),13
Mol Ecol Resour (1755-098X),15
Mol Microbiol (0950-382X),1
Plant Cell (1040-4651),3
PLoS One (1932-6203),1
Proc Biol Sci (0962-8452),4
Proc Natl Acad Sci U S A (0027-8424),1
Science (0036-8075),3
Syst Biol (1063-5157),4

Month:,February 2013,Total number of hits:,39

Journal Medline Abbreviation(ISSN),Number of Hits
Am Nat (0003-0147),4
Evolution (0014-3820),1
J Evol Biol (1010-061X),4
Mol Biol Evol (0737-4038),2
Mol Ecol (0962-1083),4
Mol Ecol Resour (1755-098X),12
Nature (0028-0836),1
Plant Cell (1040-4651),4
Proc Biol Sci (0962-8452),2
Science (0036-8075),2
Syst Biol (1063-5157),2
Zookeys (1313-2989),1



Database:,NucCore
Total:,17

Month,Number of Hits  
3/2013,2
2/2013,1
1/2013,1
12/2012,13


Database:,Protein
Total:,2

Month,Number of Hits  
2/2013,1
12/2012,1


Database:,Taxonomy
Total:,67

Month,Number of Hits  
3/2013,14
2/2013,22
1/2013,25
12/2012,6


