"CATEGORY","VERSION","UNIT","JURISDICTION","CANONICAL_URL","IDENTIFIER","SPDX_IDENTIFIER","TITLE","LANGUAGE_DEFAULT","ENTRY_POINT"
"licenses","3.0","by","","https://creativecommons.org/licenses/by/3.0/","CC 3.0","CC-BY-3.0","Attribution 3.0 Unported","en","CC_GROUP"
"licenses","3.0","by","am","https://creativecommons.org/licenses/by/3.0/am/","CC BY 3.0 AM","","Attribution 3.0 Armenia","en",
"licenses","3.0","by","at","https://creativecommons.org/licenses/by/3.0/at/","CC BY 3.0 AT","CC-BY-3.0-AT","Namensnennung 3.0 Österreich","de",
"licenses","3.0","by","au","https://creativecommons.org/licenses/by/3.0/au/","CC BY 3.0 AU","CC-BY-3.0-AU","Attribution 3.0 Australia","en",
"licenses","3.0","by","az","https://creativecommons.org/licenses/by/3.0/az/","CC BY 3.0 AZ","","Müəllifliyin müəyyən edilməsi 3.0 Azərbaycan","az",
"licenses","3.0","by","br","https://creativecommons.org/licenses/by/3.0/br/","CC BY 3.0 BR","","Atribuição 3.0 Brasil","pt-br",
"licenses","3.0","by","ca","https://creativecommons.org/licenses/by/3.0/ca/","CC BY 3.0 CA","","Attribution 3.0 Canada","en",
"licenses","3.0","by","ch","https://creativecommons.org/licenses/by/3.0/ch/","CC BY 3.0 CH","","Namensnennung (by) 3.0 Schweiz","de",
"licenses","3.0","by","cl","https://creativecommons.org/licenses/by/3.0/cl/","CC BY 3.0 CL","","Atribución 3.0 Chile","es",
"licenses","3.0","by","cn","https://creativecommons.org/licenses/by/3.0/cn/","CC BY 3.0 CN","","署名 3.0中国大陆","zh-hans",
"licenses","3.0","by","cr","https://creativecommons.org/licenses/by/3.0/cr/","CC BY 3.0 CR","","Atribución 3.0 Costa Rica","es",
"licenses","3.0","by","cz","https://creativecommons.org/licenses/by/3.0/cz/","CC BY 3.0 CZ","","Uveďte autora 3.0 Česko","cs",
"licenses","3.0","by","de","https://creativecommons.org/licenses/by/3.0/de/","CC BY 3.0 DE","CC-BY-3.0-DE","Namensnennung 3.0 Deutschland","de",
"licenses","3.0","by","ec","https://creativecommons.org/licenses/by/3.0/ec/","CC BY 3.0 EC","","Reconocimiento 3.0 Ecuador","es",
"licenses","3.0","by","ee","https://creativecommons.org/licenses/by/3.0/ee/","CC BY 3.0 EE","","Autorile viitamine 3.0 Eesti","et",
"licenses","3.0","by","eg","https://creativecommons.org/licenses/by/3.0/eg/","CC BY 3.0 EG","","نسب المصنف 3.0 مصر","ar",
